type,source,destination,status,hash,notes
symbol,,symbols/analog/diode.kicad_sym,UNCHANGED,108219ff16cda5568ed7fbde04d1b647d4b2cf7a1659191ee9c2c5e318dc2fc2,"custom small diode/LED/zener library (D, LED, ZENER); case-insensitive-collided with the upstream official Diode.kicad_sym, which was renamed to Diode_Official.kicad_sym"
symbol,,symbols/audio/ADAU1467WBCPZ300RL.kicad_sym,UNCHANGED,9b15507adeae900dbe896bd0be4f363f2deef2b88abc91f41c5460fc1d223da5,"imported from https://github.com/freeDSP/FreeDSP_ki-CAD_Libraries (legacy .lib, converted via kicad-cli sym upgrade)"
symbol,,symbols/audio/AK5384.kicad_sym,UNCHANGED,b3718221c18c5a466e1e255c6789a58b990e74384ef03195774cccf5e19f17c4,"imported from https://github.com/freeDSP/FreeDSP_ki-CAD_Libraries, symbol only (extracted from fdsp_converter.lib; no matching local footprint file)"
symbol,,symbols/audio/Amplifier_Audio.kicad_sym,UNCHANGED,5b91dc209a67eddb6987810235945d0f9f3c56c4f667f11340771b11cb764cfc,category=audio
symbol,,symbols/audio/Audio.kicad_sym,UNCHANGED,de3460975fdaa4b4e08930bf385375c4ae9bcbe04a0c107a0d5d0e26f207f4aa,category=audio
symbol,,symbols/audio/CS8421-CZZ.kicad_sym,UNCHANGED,97bfef803dae82281ef29fc1c1cb5efeaffbb1e46fbe697557c93f65561f60bb,"imported from https://github.com/freeDSP/FreeDSP_ki-CAD_Libraries, symbol only (no matching local footprint file; Footprint property left as the bare upstream IPC name 'SOP65P640X110-20N', not yet linked to a library)"
symbol,,symbols/audio/Combo384.kicad_sym,UNCHANGED,8cd0a34b0a0d3e205abdb16c4c7cad4c2865056438af098bb7b3206f7591a607,"imported from https://github.com/freeDSP/FreeDSP_ki-CAD_Libraries (extracted from Combo384.lib, which also contained MW-1466CORE)"
symbol,,symbols/audio/Connector_Audio.kicad_sym,UNCHANGED,bb95bfecbc9bdf4499ec28881962e5ee5108ec7735cac6db7e00d2af7e915f3c,category=audio
symbol,,symbols/audio/DSP_AnalogDevices.kicad_sym,UNCHANGED,093703668c0b8259919670f4c36457f808f9f6c12d8afead7019084a297c8fb2,category=audio
symbol,,symbols/audio/DSP_Freescale.kicad_sym,UNCHANGED,e702171bd5231415247cb9e3d7cd3229c5825109387ff4c42f26e95052e31d6f,category=audio
symbol,,symbols/audio/DSP_Microchip_DSPIC33.kicad_sym,UNCHANGED,efcd9d8f30eb06903c2433c0a40cfd222c7baa1666d17c5c9e41441b09a61796,category=audio
symbol,,symbols/audio/DSP_Motorola.kicad_sym,UNCHANGED,02f6d60268806213331ca35b91ab43b0823b56d29a324bd6b1ef4b799c058d37,category=audio
symbol,,symbols/audio/DSP_Texas.kicad_sym,UNCHANGED,f68beafe655a2853b821a9c58980ddb42a3b08032afd6718f10191ce6fd90ffd,category=audio
symbol,,symbols/audio/LME49720MA.kicad_sym,UNCHANGED,2a2c2c8738a14d3dbbfab85024adfacf4a957a48874f1bbe8d3258fdc188ac7b,"imported from https://github.com/freeDSP/FreeDSP_ki-CAD_Libraries, symbol only; Footprint property repointed to the existing shared MIKILAB_ipc_soic:IPC_SOIC127P600X175-8N (exact IPC match already in this library, avoids duplicating the footprint)"
symbol,,symbols/audio/MW-1466CORE.kicad_sym,UNCHANGED,6ee1e158e000ae5619d7084c7041b1db4a73fbe0b84a7ff31b940e025854162f,imported from https://github.com/freeDSP/FreeDSP_ki-CAD_Libraries; FreeDSP's ADAU1466 SigmaDSP core module (extracted from Combo384.lib)
symbol,,symbols/audio/PCM1808QPWRQ1.kicad_sym,UNCHANGED,0e5aa8a504882af7941699ec61a5432c5ae049d2a1f5267d1ce41a48c17cb493,"imported from https://github.com/freeDSP/FreeDSP_ki-CAD_Libraries (legacy .lib, converted via kicad-cli sym upgrade)"
symbol,,symbols/audio/PCM1861DBT.kicad_sym,UNCHANGED,7ec6d4805a2c10d9348ab1ddbaf559fdaaf7875c039078ed4dc2d57d4ffb645d,"imported from https://github.com/freeDSP/FreeDSP_ki-CAD_Libraries, symbol only (no matching local footprint file; Footprint property left as bare upstream IPC name)"
symbol,,symbols/audio/PCM9211PTR.kicad_sym,UNCHANGED,04a3489abb5b082b15fb1d5f5cb8af61b2281f6e9870baa9287de78d03dd00b4,"imported from https://github.com/freeDSP/FreeDSP_ki-CAD_Libraries (legacy .lib, converted via kicad-cli sym upgrade)"
symbol,,symbols/audio/Sensor_Audio.kicad_sym,UNCHANGED,db449767efbe850008ea9e5cdc980b2a45ec5c579a1d912dc7846acde93282d3,category=audio
symbol,,symbols/audio/Si4684-A10-GM.kicad_sym,UNCHANGED,c5798a5f5b7b5d6d7ab46dfeac10706ec577000a273a60f2348b07900cfa6ec4,"extracted from unmerged/open kicad-symbols MR !4782 (https://gitlab.com/kicad/libraries/kicad-symbols/-/merge_requests/4782, cannot_be_merged, failing pipeline, needs v9 format upgrade); independently validated with kicad-cli before import (parses OK, 48 unique pins) and cross-checked against 2 independent sources (Skyworks public product summary block diagram, and manvalan/PE5PVB SI4684-DAB-Receiver's built/fabricated SI4684 symbol) -- all comparable pin names/numbers agree; symbol only, Footprint property references the standard Package_DFN_QFN library"
symbol,,symbols/display/Display_Character.kicad_sym,UNCHANGED,b3998eabbf4b26380b18ff115cab587e81afe3c14f282b6467e88e9caece9588,category=display
symbol,,symbols/display/Display_Graphic.kicad_sym,UNCHANGED,492a0236abdd340f04d6cdbf6011c7539da9302147833c9d6e3eedde52099c77,category=display
symbol,,symbols/display/Driver_Display.kicad_sym,UNCHANGED,158976d7a69718c53279afb0cd9a89c3f173d40847b5639b537a2c5ebb4d7b8d,category=display
symbol,,symbols/fpga_cpld/CPLD_Altera.kicad_sym,UNCHANGED,5bceaccb5d53ca5b8db154b9ad2919fa475023fae6c5fe90226b24d10d9ea648,category=fpga_cpld
symbol,,symbols/fpga_cpld/CPLD_Microchip.kicad_sym,UNCHANGED,1e7a8fd045d3e2bac36c41cc96f4d3768f946c71f90292da0b2eed85a2c0276d,category=fpga_cpld
symbol,,symbols/fpga_cpld/CPLD_Renesas.kicad_sym,UNCHANGED,f229342fbc322e136f6e836e39b8fce5abed60fc953fe383e300a9e981610033,category=fpga_cpld
symbol,,symbols/fpga_cpld/CPLD_Xilinx.kicad_sym,UNCHANGED,77b6e53e354f7083b495ac367d0e760a9a747bc6e6aa22563357b1da1283f29b,category=fpga_cpld
symbol,,symbols/fpga_cpld/FPGA_Efinix_Trion.kicad_sym,UNCHANGED,b3664454caa77ee3e0225f75b1a0dbc3cf75ce07346625fb6640a2c3013f1d40,category=fpga_cpld
symbol,,symbols/fpga_cpld/FPGA_Lattice.kicad_sym,UNCHANGED,7aecc5dfedeb180259040208289f1c1444a4aff0fd5f9b95643afe1676853b7d,category=fpga_cpld
symbol,,symbols/fpga_cpld/FPGA_Microsemi.kicad_sym,UNCHANGED,e8086b7c77469c16d9ee88592b86ff22ae77e2d01a82ec15b3539062d1aaee69,category=fpga_cpld
symbol,,symbols/fpga_cpld/FPGA_Xilinx.kicad_sym,UNCHANGED,d2523e9de137540140a0ed982cc9a62ab644e094dc4fd8513c4fae1afdc00649,category=fpga_cpld
symbol,,symbols/fpga_cpld/FPGA_Xilinx_Artix7.kicad_sym,UNCHANGED,142fa53d71c0d3f97b0205b49c0ea5b5a7c0819291a0ca19228c8c3afd9952f5,category=fpga_cpld
symbol,,symbols/fpga_cpld/FPGA_Xilinx_Kintex7.kicad_sym,UNCHANGED,0e943c9906d1d483e845c5061bdaa36efa5d35c30849089e4ec880d48af702f2,category=fpga_cpld
symbol,,symbols/fpga_cpld/FPGA_Xilinx_Spartan6.kicad_sym,UNCHANGED,5103dbffc2302d9744ca5315c34e4581973a8d94a465cc548a3d89f9128e950a,category=fpga_cpld
symbol,,symbols/fpga_cpld/FPGA_Xilinx_Virtex5.kicad_sym,UNCHANGED,90d15f06fb03f6a4165d6fd6fdedbac55ee68625263a6963e63c236b43e03954,category=fpga_cpld
symbol,,symbols/fpga_cpld/FPGA_Xilinx_Virtex6.kicad_sym,UNCHANGED,78b519631b7fde3e38673e773f13f557526a41d23610ba1aa9509d52258abf25,category=fpga_cpld
symbol,,symbols/fpga_cpld/FPGA_Xilinx_Virtex7.kicad_sym,UNCHANGED,d450b4bba8dc603320608e2c9e26f37eba2586dfd46630e51e379facb9a055a9,category=fpga_cpld
symbol,,symbols/fpga_cpld/lattice.kicad_sym,UNCHANGED,6ac449916c98d385dc4d6bba77d5d888caea8f130c08dac1227f123c4a4ea346,category=fpga_cpld
symbol,,symbols/interface/Connector.kicad_sym,UNCHANGED,d3c305337940d2048a7281674c3976ac6d7f2d5cce9b4065d835e007aac5826c,category=interface
symbol,,symbols/interface/Connector_Generic.kicad_sym,UNCHANGED,9fbb70b9dcdb4121384821b18901229300c0cc64f19b26c43e4f7d384609b709,category=interface
symbol,,symbols/interface/Connector_Generic_MountingPin.kicad_sym,UNCHANGED,fd2f2bd078e4e9bd78a5a7d066ff3ab37c23a3a8cd965eef2bd24b7f759986ce,category=interface
symbol,,symbols/interface/Connector_Generic_Shielded.kicad_sym,UNCHANGED,a21e68d4475aaec10f9d9ced1e4340b858643f1acf709c6576ab064267c1a0ae,category=interface
symbol,,symbols/interface/Simulation_SPICE.kicad_sym,UNCHANGED,2863c7e38278aa652a63203708264f91b5601d40fe0da9fe580fdc81f6d0e0b8,category=interface
symbol,,symbols/logic/4xxx.kicad_sym,UNCHANGED,1a80a8f5bb4b2700c9059f6e48ce2b204cb104f9f46af69fd1e2710d3b906f8b,category=logic
symbol,,symbols/logic/4xxx_IEEE.kicad_sym,UNCHANGED,36e9703c32c0652221921be81f50c6e00871aa9f6847aa938093ae3e463f6b64,category=logic
symbol,,symbols/logic/74xx.kicad_sym,UNCHANGED,fa21e4d0266a61ffca2d695f3350c683e7b55b3839d770328e1a6abc3212892a,category=logic
symbol,,symbols/logic/74xx_IEEE.kicad_sym,UNCHANGED,cb49e5ff2ac90eb07e741cc0468fd99cab5d76413faadc749bef5f6ec03cdd28,category=logic
symbol,,symbols/logic/Amplifier_Buffer.kicad_sym,UNCHANGED,9db0f30ca2da0ecf63aff3bb357f0c0c6bb2f4496f4283df13a55149ca90f961,category=logic
symbol,,symbols/logic/Buffer.kicad_sym,UNCHANGED,73b0c924b89fc0d7711d2cdd982d74f91eb1c5835d0f84bd108dab8428c06f1f,category=logic
symbol,,symbols/logic/Comparator.kicad_sym,UNCHANGED,79c68b16ff7e82e115c81d8e2aafd4345ae18ef60c9ce22f30528524a85de016,category=logic
symbol,,symbols/logic/FPGA_CologneChip_GateMate.kicad_sym,UNCHANGED,32259c6bc09bd35cbb3c8bf818f66a23fe625d8773df56a2851ad6471bf5364c,category=logic
symbol,,symbols/logic/Logic_LevelTranslator.kicad_sym,UNCHANGED,6f6a9a5512aefe12c1d09fd664dcfc230221e18203d418f3a7f4faae4d3518bc,category=logic
symbol,,symbols/logic/Logic_Programmable.kicad_sym,UNCHANGED,63dfa26541fe8290d66a8c83fff832daee91e11d4cad4651417e39a9b28b31f0,category=logic
symbol,,symbols/logic/Timer.kicad_sym,UNCHANGED,2fc120013f19229b19223113cae303a1b8f2b93d9f42cb50e7fc87b4d89d78f4,category=logic
symbol,,symbols/logic/Timer_PLL.kicad_sym,UNCHANGED,3b4e59c386ee9676f0065b5b1beca5c3a95411f551d5c7d9437e9d8183e32710,category=logic
symbol,,symbols/logic/Timer_RTC.kicad_sym,UNCHANGED,2afd088efaf380f0a3b57f882393da64c5976b2435203f2f64e78c7cb4a3d6f6,category=logic
symbol,,symbols/mechanical/Jumper.kicad_sym,UNCHANGED,f2fdc83abc164c28c2244d868d43d74907d383104f68dd4a85453ab91eb9d1dd,category=mechanical
symbol,,symbols/mechanical/Mechanical.kicad_sym,UNCHANGED,0f153c269eaf4e56ab8fe985b05e7f0ec70f0d365dcfd03bd596791482c8a7d8,category=mechanical
symbol,,symbols/memory/Memory_EEPROM.kicad_sym,UNCHANGED,e1f55bc632e2ad3c336f74a9c06e169f9ebebbdd61f11dee394ffb81b5642676,category=memory
symbol,,symbols/memory/Memory_EPROM.kicad_sym,UNCHANGED,06a56f47ebe605134543e12b4a7b3f1c8ab315ca9ab3f6b941b182705e1ca459,category=memory
symbol,,symbols/memory/Memory_Flash.kicad_sym,UNCHANGED,73f7c8f62feadcb70cced6bfeb51d0389439072553fd883424732ff8aed2df07,category=memory
symbol,,symbols/memory/Memory_NVRAM.kicad_sym,UNCHANGED,2116a3b1caec0f3a88200a46cd864d648b8ea6347397f2c584eaf145e3edb37b,category=memory
symbol,,symbols/memory/Memory_RAM.kicad_sym,UNCHANGED,9060748e196a82a2ae6e5d32d92dd987c8c0d3288855a08d2e94150d1c5a60fd,category=memory
symbol,,symbols/memory/Memory_ROM.kicad_sym,UNCHANGED,d9e490c4820d7e9badab99bafb0c72d8786f4dd75c1ae9cd6e2da56621ffc2c2,category=memory
symbol,,symbols/memory/Memory_UniqueID.kicad_sym,UNCHANGED,b1e70de14e638b740de42a59310fb2d7ac6ba9505b116a43e1e1b9e0e39998fd,category=memory
symbol,,symbols/microcontrollers/CPU.kicad_sym,UNCHANGED,0925966ff558382e47dc3b3cf7797b318c74716c3c75fdf8caf874188eedc75b,category=microcontrollers
symbol,,symbols/microcontrollers/CPU_NXP_6800.kicad_sym,UNCHANGED,e5d69b4a12b8051285c36de494a834277404340185a6b20cb79c41ceee15fb6b,category=microcontrollers
symbol,,symbols/microcontrollers/CPU_NXP_68000.kicad_sym,UNCHANGED,31c9dc8245ca9cbd4b649a50bd39e0be97cee269b17a0bcc553b8e03c986f8dc,category=microcontrollers
symbol,,symbols/microcontrollers/CPU_NXP_IMX.kicad_sym,UNCHANGED,24a219dc54abe961271ff597050e46f466c56bd92cf3b2edf54fcd90c66f6e4c,category=microcontrollers
symbol,,symbols/microcontrollers/CPU_PowerPC.kicad_sym,UNCHANGED,061cb04687f32f63f8110c43b22c58a550e54f6b2f3772632ec78d8484bfddd4,category=microcontrollers
symbol,,symbols/microcontrollers/ESP32-C3-MINI-1.kicad_sym,UNCHANGED,f9dae0b74fd61c9ba6a2296650569a5b81600524d779838735672a657c62c80e,imported from https://github.com/espressif/kicad-libraries
symbol,,symbols/microcontrollers/ESP32-C3-WROOM-02.kicad_sym,UNCHANGED,48a615170f9e755089b8d2a1c4021e571ee7e2b4744760d2737b16d40a0c08f2,imported from https://github.com/espressif/kicad-libraries
symbol,,symbols/microcontrollers/ESP32-C5-WROOM-1.kicad_sym,UNCHANGED,0c0a38f626cd0b8b2c8166efc9633a97bc874e4e97e1a4fb249ab06348bfb9d6,imported from https://github.com/espressif/kicad-libraries
symbol,,symbols/microcontrollers/ESP32-C5-WROOM-1U.kicad_sym,UNCHANGED,dcf17954147a5bf925ee1a77854908eba860811987e5ab95af023e38355e8795,imported from https://github.com/espressif/kicad-libraries
symbol,,symbols/microcontrollers/ESP32-C6-MINI-1_U.kicad_sym,UNCHANGED,7c2414d270d414e8d9363cf0b250af72911430ef1dc0055cc0f1dd51430ef66d,imported from https://github.com/espressif/kicad-libraries
symbol,,symbols/microcontrollers/ESP32-C6-WROOM-1.kicad_sym,UNCHANGED,0c59f8f4951012f530c40be86e86c59fe0f1b45ead00ae79eb722e92dfb641b6,imported from https://github.com/espressif/kicad-libraries
symbol,,symbols/microcontrollers/ESP32-H2-MINI-1.kicad_sym,UNCHANGED,b9d2d3148249c3757843225bddf02dfffeca7f5459db3f449ae229dfcc8feb0a,imported from https://github.com/espressif/kicad-libraries
symbol,,symbols/microcontrollers/ESP32-MINI-1.kicad_sym,UNCHANGED,7a8c12b92cdf86b6653bb63f4150b6f412d56f6a09a1140536508e91d254113b,imported from https://github.com/espressif/kicad-libraries
symbol,,symbols/microcontrollers/ESP32-S2-MINI-1.kicad_sym,UNCHANGED,5d0899a68fd0e6b8b25e960a7d15f6287dbad62478328d30ce6fd958e4de583e,imported from https://github.com/espressif/kicad-libraries
symbol,,symbols/microcontrollers/ESP32-S2-SOLO.kicad_sym,UNCHANGED,389d7d59136e06961dbd651aab3811ad9668818db05a76b5940bddcd4c4ec715,imported from https://github.com/espressif/kicad-libraries
symbol,,symbols/microcontrollers/ESP32-S2-WROOM.kicad_sym,UNCHANGED,d0138698214e041d42b1de9186a6d0a5bebefb7c2da9613a38ae9e2c6f4d5e7f,imported from https://github.com/espressif/kicad-libraries
symbol,,symbols/microcontrollers/ESP32-S2-WROVER.kicad_sym,UNCHANGED,0af87caa95538913305706479427c8660a0d6fd415cc79b0e09e3e4af58d15ef,imported from https://github.com/espressif/kicad-libraries
symbol,,symbols/microcontrollers/ESP32-S3-MINI-1.kicad_sym,UNCHANGED,f61071db4d9583c303e70c207711ca48bd78efb7bca1dd72deaffcee3b905890,imported from https://github.com/espressif/kicad-libraries
symbol,,symbols/microcontrollers/ESP32-S3-WROOM-1.kicad_sym,UNCHANGED,af9a3f95ca0b8dc038cd9fc7e9a11e2db8a58aa3e56e3b252825018b48af83ee,imported from https://github.com/espressif/kicad-libraries
symbol,,symbols/microcontrollers/ESP32-S3-WROOM-2.kicad_sym,UNCHANGED,4ad67d9349c7e3eca47155e4fb5e0387bba595907a6fda0b8e54bdcdbf2e35bc,imported from https://github.com/espressif/kicad-libraries
symbol,,symbols/microcontrollers/ESP32-S31-WROOM-3.kicad_sym,UNCHANGED,137a84b77d6e662d7fe04416df16b96a9d95b819fcdfe29d0b0dc160ccc04ed5,REPLACED an earlier easyeda2kicad.py export (which had a fatal unquoted-URL parser bug) with the official symbol from https://github.com/espressif/kicad-libraries
symbol,,symbols/microcontrollers/ESP32-WROOM-E.kicad_sym,UNCHANGED,0db3387e7f41557e961f068c57b49029bda7cb3b5eed0977883c0021ef10b727,imported from https://github.com/espressif/kicad-libraries
symbol,,symbols/microcontrollers/ESP32-WROVER-E.kicad_sym,UNCHANGED,ce6c086073fa5ab8f2b8f319fbf20049bc965c645d7cdf81db81aa5e7d7b5372,imported from https://github.com/espressif/kicad-libraries
symbol,,symbols/microcontrollers/ESP8684-WROOM-02C_U.kicad_sym,UNCHANGED,e5babfac7545feb6e9c23718b60b2afea71202ec17b0e97a0a6cef33d2d1de54,imported from https://github.com/espressif/kicad-libraries
symbol,,symbols/microcontrollers/MCU_AnalogDevices.kicad_sym,UNCHANGED,eceed6c63ac3ba85e86e92120e4a5416bbbbe0f43a90e9b64ec72d65fa390824,category=microcontrollers
symbol,,symbols/microcontrollers/MCU_Cypress.kicad_sym,UNCHANGED,a73fa1c41113e74076ec6b66c7c6a952f0a329898d790a8f0991d62811d0bab3,category=microcontrollers
symbol,,symbols/microcontrollers/MCU_Dialog.kicad_sym,UNCHANGED,3cdaf019ecf51b423fbe9c211346b2769d6e7d4b00c0c543b1bb8298d477a7e4,category=microcontrollers
symbol,,symbols/microcontrollers/MCU_Espressif.kicad_sym,UNCHANGED,14c7a24cccbc1d5cb2d15777f39d58f8dac912e2d64d4c34662e989b96c76f4a,category=microcontrollers
symbol,,symbols/microcontrollers/MCU_Intel.kicad_sym,UNCHANGED,ac0c5290988b72806517d4536855f3562b471aca93bed2a0783fd4c0363d22dc,category=microcontrollers
symbol,,symbols/microcontrollers/MCU_Microchip_8051.kicad_sym,UNCHANGED,4ee163e6e4f33e9d279607b4e03a54adc70edd99777ed207e4889b6556356250,category=microcontrollers
symbol,,symbols/microcontrollers/MCU_Microchip_ATmega.kicad_sym,UNCHANGED,fd645e5740ec79d8db777fababac5cf13e84fa0dd971f81d6e1217dff8ea8161,category=microcontrollers
symbol,,symbols/microcontrollers/MCU_Microchip_ATtiny.kicad_sym,UNCHANGED,598100338930fda0b13114b6c53e542b1d1a55d3c543c8ca1243b70fff35f30c,category=microcontrollers
symbol,,symbols/microcontrollers/MCU_Microchip_AVR.kicad_sym,UNCHANGED,f485efa2953021b347a1cf22586eb790c2c7086df0caeaf0a7140f79f0ba285e,category=microcontrollers
symbol,,symbols/microcontrollers/MCU_Microchip_AVR_Dx.kicad_sym,UNCHANGED,d6efcd859a2832f1181aefbd5ac542462713a79fe47e495702ebaa2bb46bb391,category=microcontrollers
symbol,,symbols/microcontrollers/MCU_Microchip_PIC10.kicad_sym,UNCHANGED,f66bf69f0c39c4ef112cd1eed1ae455b37803d9ade00c877d0ffee1a8c0e4268,category=microcontrollers
symbol,,symbols/microcontrollers/MCU_Microchip_PIC12.kicad_sym,UNCHANGED,164d3a7aa847c5723b6020d226b2abfa172da397d6612121b7d7bca1c894a92b,category=microcontrollers
symbol,,symbols/microcontrollers/MCU_Microchip_PIC16.kicad_sym,UNCHANGED,e997eab31b77de61b70fc6f97a37ac57261f0105433aa10974837c11b1608597,category=microcontrollers
symbol,,symbols/microcontrollers/MCU_Microchip_PIC18.kicad_sym,UNCHANGED,9e7a3a810e1e3d32e1b1ad46f4eaf33c6e6daf9e0bdc8c8713088f5a9e6ad2c1,category=microcontrollers
symbol,,symbols/microcontrollers/MCU_Microchip_PIC24.kicad_sym,UNCHANGED,0f28846397f2fa77e6f7c975d1fbe2ce3c11e5226b986653a36d5a85c2c2516d,category=microcontrollers
